ID_NUM,SEQ_NUM_2,CUR_DEGREE,NON_DEGREE_SEEKING,DIV_CDE,DEGR_CDE,PRT_DEGR_ON_TRANSC,ACAD_DEGR_CDE,DTE_DEGR_CONFERRED,DEGR_EARNED_AT,MAJOR_1,MAJOR_2,MINOR_1,MINOR_2,CONCENTRATION_1,DEGR_HONORS_1,CLASS_RANK,CLASS_SIZE,EXPECT_GRAD_YR,EXPECT_GRAD_TRM,ENTRY_DTE,WITHDRAWAL_DTE,EXIT_REASON,EXIT_DTE,REENTRY_DTE,ADV_TREE_YR_CDE,ACTIVE,DEG_LOCK_FLG,NSC_DEGREE_PERIOD_CDE,COLL_AWARDING_DEG_1,COLL_AWARDING_DEG_2,DEG_APPLICATION_DTE,DEGREE_YR,DEGREE_TRM,DIPLOMA_NAME,IN_ABSENTIA,DIPLOMA_PICK_UP,RECORD_CHANGE_DATE,REVERSE_TRANSFER_DEGREE,ACADEMIC_PLAN_START_YR_CDE,ACADEMIC_PLAN_START_TRM_CDE,ALTERNATE_PLAN_LAYOUT_FLG,APPROWVERSION,USER_NAME,JOB_NAME,JOB_TIME,File_Name,Snapshot_Date
106672,1,"Y","N","UG","BA","Y","",2022-12-30 18:00:00.000,"*LOCAL","CRJAO","","","","","",,,2018,30,2014-08-25 19:00:00.000,,"G",2022-12-30 18:00:00.000,,2020,"Y","L","","SH","",,2022,10,"","N","N",2023-02-02 06:29:19.876,"N",,,"N",7814188825,"GMITCHELL","w_student_info",2023-02-02 06:29:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
110241,1,"Y","N","UG","BS","Y","",,"*LOCAL","INTDO","","","","GENST","",,,2019,30,2015-08-24 19:00:00.000,,"",,,2020,"Y","N","","","",,2025,30,"","N","N",2025-09-15 08:45:19.646,"N",,,"N",8015820767,"JAPRATT","w_student_info",2025-09-15 08:45:19.683,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
115894,1,"Y","N","UG","BS","Y","",2024-12-30 18:00:00.000,"*LOCAL","INTDS","","","","GENST","",,,2020,30,2016-08-21 19:00:00.000,,"G",2024-12-30 18:00:00.000,,2020,"Y","L","","SH","",,2024,10,"","N","N",2025-03-28 09:46:42.260,"N",,,"N",7850110342,"JAPRATT","w_student_info",2025-03-28 09:46:42.323,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
121859,1,"Y","N","UG","BA","Y","",,"*LOCAL","SOC","","","","","",,,2020,30,2017-08-20 19:00:00.000,,"",,,2020,"Y","N","","SH","",,2023,30,"","N","N",2025-03-11 06:13:13.763,"N",,,"N",7833651901,"JAPRATT","w_student_info",2025-03-11 06:13:13.820,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
120800,1,"Y","N","UG","BA","Y","",2024-12-30 18:00:00.000,"*LOCAL","CRJAO","","","","","CU",,,2021,30,2017-06-25 19:00:00.000,,"G",2024-12-30 18:00:00.000,,2020,"Y","L","","","",,2024,10,"","N","N",2025-03-26 10:29:07.266,"N",,,"N",7848040738,"JAPRATT","w_student_info",2025-03-26 10:29:07.296,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
114156,2,"Y","N","UG","BS","Y","",,"*LOCAL","INTDS","","","","GENST","",,,2022,30,2019-06-16 19:00:00.000,,"",,,2020,"Y","N","","SH","",,2024,30,"","N","N",2024-10-09 07:11:18.996,"N",2020,10,"N",7814200602,"GMITCHELL","w_student_info",2024-10-09 07:11:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
128852,1,"N","N","UG","BBA","Y","",2025-05-02 19:00:00.000,"*LOCAL","BUADM","","","","","",,,2022,30,2019-06-16 19:00:00.000,,"G",2025-05-02 19:00:00.000,,2020,"Y","L","","","",,2024,30,"","N","N",2025-04-30 06:16:10.823,"N",,,"N",7947275133,"GMITCHELL","w_ad_re_transfer",2025-07-08 11:25:30.096,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
128136,1,"Y","N","UG","BBA","Y","",2022-12-30 18:00:00.000,"*LOCAL","BOMGO","","","","","",,,2022,30,2019-06-16 19:00:00.000,,"G",2022-12-30 18:00:00.000,,2020,"Y","L","","","",,2022,10,"","N","N",2023-02-02 05:57:16.366,"N",,,"N",7814200720,"GMITCHELL","w_student_info",2023-02-02 05:57:00.000,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
129088,1,"Y","N","UG","BS","Y","",2024-12-30 18:00:00.000,"*LOCAL","PEEDU","","","","","",,,2022,30,2019-06-16 19:00:00.000,,"G",2024-12-30 18:00:00.000,,2020,"Y","L","","","",,2024,10,"","N","N",2025-03-26 10:35:02.526,"N",,,"N",7848042029,"JAPRATT","w_student_info",2025-03-26 10:35:02.566,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
130224,1,"Y","N","UG","BBA","Y","",2025-05-02 19:00:00.000,"*LOCAL","BCIS","","","","","",,,2022,30,2020-01-07 18:00:00.000,,"G",2025-05-02 19:00:00.000,,2020,"Y","L","","B","",,2024,30,"","N","N",2025-04-30 06:21:39.146,"N",2019,30,"N",7883180229,"GMITCHELL","w_student_info",2025-04-30 06:21:39.200,"dbfs:/mnt/adl/source-data/Snapshot/J1/DEGREE_HISTORY/DEGREE_HISTORY_202511090907.json.gz",2025-11-08 18:00:00.000
